Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator Cores,Rmax,Rpeak,Effeciency (%),Nmax,Nhalf,Power,Mflops/Watt,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Region,Continent
450,,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",Logistic Services (E),Hewlett-Packard,United States,2011,Industry,9492,0,52922.9,100994.9,52.4,0,0,,,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),Cluster Platform SL160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
451,,"Cluster Platform 3000 SL160z, Xeon X5550 2.66 GHz, GigE",Logistic Services (E),Hewlett-Packard,United States,2011,Industry,9492,0,52922.9,100994.9,52.4,0,0,,,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),Cluster Platform SL160z,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
452,,"iDataPlex DX360M3, Xeon 2.93, Infiniband",Geoscience (P),IBM,United States,2011,Industry,5112,0,52874.12,59912.64,88.25,0,0,159.75,330.98,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
453,,"iDataPlex DX360M3, Xeon 2.93, Infiniband",Geoscience (P),IBM,United States,2011,Industry,5112,0,52874.12,59912.64,88.25,0,0,159.75,330.98,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
454,,"iDataPlex DX360M3, Xeon 2.93, Infiniband",Geoscience (P),IBM,United States,2011,Industry,5112,0,52874.12,59912.64,88.25,0,0,159.75,330.98,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
455,,"iDataPlex DX360M3, Xeon 2.93, Infiniband",Geoscience (P),IBM,United States,2011,Industry,5112,0,52874.12,59912.64,88.25,0,0,159.75,330.98,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
456,,"iDataPlex DX360M3, Xeon 2.93, Infiniband",Geoscience (P),IBM,United States,2011,Industry,5112,0,52874.12,59912.64,88.25,0,0,159.75,330.98,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
457,,"iDataPlex DX360M3, Xeon 2.93, Infiniband",Geoscience (P),IBM,United States,2011,Industry,5112,0,52874.12,59912.64,88.25,0,0,159.75,330.98,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
458,,"iDataPlex DX360M3, Xeon 2.93, Infiniband",Geoscience (P),IBM,United States,2011,Industry,5112,0,52874.12,59912.64,88.25,0,0,159.75,330.98,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),iDataPlex DX360M3,IBM iDataPlex,Infiniband,Infiniband QDR,North America,Americas
459,Tera-10,"NovaScale 5160, Itanium2 1.6 GHz, Quadrics",Commissariat a l'Energie Atomique (CEA),Bull SA,France,2006,Research,9968,0,52840,63795.2,82.83,0,0,,,Constellations,Itanium2 Montecito Dual Core 2C 1.60GHz,Intel IA-64,1600,Linux,Linux,None,2,Itanium2 Montecito Dual Core,NovaScale 5160,Bull SMP Cluster,Quadrics,Quadrics,Western Europe,Europe
460,,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",Banking (M),IBM,United States,2011,Industry,9336,0,52814,94480,55.9,0,0,283.19,186.5,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),xSeries x3650M2 Cluster Xeon QC,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
461,,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",Banking (M),IBM,United States,2011,Industry,9336,0,52814,94480,55.9,0,0,283.19,186.5,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),xSeries x3650M2 Cluster Xeon QC,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
462,,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",Banking (M),IBM,United States,2011,Industry,9336,0,52814,94480,55.9,0,0,283.19,186.5,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),xSeries x3650M2 Cluster Xeon QC,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
463,,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",Banking (M),IBM,United States,2011,Industry,9336,0,52814,94480,55.9,0,0,283.19,186.5,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),xSeries x3650M2 Cluster Xeon QC,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
464,,"Power 575, p6 4.7 GHz, Infiniband",IDRIS,IBM,France,2008,Academic,3584,0,52810,67379.2,78.38,0,0,572,92.33,MPP,POWER6 2C 4.70GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,Western Europe,Europe
465,,"Cluster Platform 4000 BL465c G7, 12C Opteron 2.2Ghz, Infiniband","Carrillo Business Technologies, Inc",Hewlett-Packard,United States,2011,Industry,7704,0,52789.2,67795.2,77.87,0,0,,,Cluster,Opteron 6174 12C 2.20GHz,AMD x86_64,2200,Linux,Linux,None,12,Opteron 12 Core,Cluster Platform 4000 BL465c G7,HP Cluster Platform 4000BL,Infiniband,Infiniband QDR,North America,Americas
466,,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",IT Service Provider,Hewlett-Packard,United States,2010,Industry,8556,0,52734.1,100276.3,52.59,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
467,,"xSeries x3650M2 Cluster Xeon QC GT 2.66 GHz, GigEthernet",Digital Media,IBM,Singapore,2011,Industry,9304,0,52633,98995,53.17,0,0,408.21,128.94,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),xSeries x3650 Cluster Xeon quad core,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,South-eastern Asia,Asia
468,,"HP DL180 Cluster G6, Xeon E5620 4C 2.40 GHz, Gigabit Ethernet",Internet Service,Hewlett-Packard,China,2011,Industry,10464,0,52418,100454.4,52.18,0,0,,,Cluster,Xeon E5620 4C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,4,Xeon E56xx (Westmere-EP),HP DL180 Cluster G6,HP Cluster Platform 3000,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
469,,"BladeCenter HS22 Cluster, WM Xeon 6-core 2.66Ghz, GigE",Telecommunication Company,IBM,United States,2011,Industry,9300,0,52406,98952,52.96,0,0,248.44,210.94,Cluster,Xeon X5650 6C 2.66GHz,Intel Nehalem,2660,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),BladeCenter HS22 Cluster (WM),IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
470,,"xSeries x3550M3, Xeon X56xx 2.53 GHz, GigE",Service Provider,IBM,China,2011,Industry,9288,0,52338,93994.56,55.68,0,0,281.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3550M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
471,,"xSeries x3550M3, Xeon X56xx 2.53 GHz, GigE",Service Provider,IBM,China,2011,Industry,9288,0,52338,93994.56,55.68,0,0,281.74,185.77,Cluster,Xeon E5649 6C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,6,Xeon E56xx (Westmere-EP),xSeries x3550M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
472,,"Cluster Platform 4000 BL465c G7, Opteron 6174 12C 2.20 GHz, Gigabit Ethernet",IT Services Provider (C),Hewlett-Packard,United States,2011,Industry,11448,0,52318,100742.4,51.93,0,0,,,Cluster,Opteron 6174 12C 2.20GHz,AMD x86_64,2200,Linux,Linux,None,12,Opteron 12 Core,Cluster Platform 4000 BL465c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
473,,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",Financial Institution,Hewlett-Packard,United States,2011,Industry,8472,0,52233,99291.84,52.61,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
474,Coates,"Cluster Platform 3000 DL165, Opteron 2.5 GHz, 10GigE",Purdue University,Hewlett-Packard,United States,2010,Academic,7944,0,52192.1,79440,65.7,0,0,,,Cluster,Opteron Quad Core 4C 2.50GHz,AMD x86_64,2500,Linux,Linux,None,4,Opteron Quad Core,HP DL165 Cluster,HP Cluster Platform 3000,Gigabit Ethernet,10G Ethernet,North America,Americas
475,,"Cluster Platform 3000 BL460c G7, Xeon X5670 6C 2.93 GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2011,Industry,8466,0,52152,99221.52,52.56,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G7,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
476,,"Cluster Platform 4000 BL465c, Opteron 2389 4C 2.90 GHz, Gigabit Ethernet",IT Service Provider (D),Hewlett-Packard,United States,2011,Industry,8512,0,51934,98739.2,52.6,0,0,,,Cluster,Opteron 2389 4C 2.90GHz,AMD x86_64,2900,Linux,Linux,None,4,Opteron Quad Core,Cluster Platform 4000 BL465c,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
477,Brutus,"Sun Blade X6440, Opteron 2.5 Ghz, Infiniband QDR",ETH Zuerich,Sun Microsystems,Switzerland,2009,Academic,6464,0,51880,64640,80.26,1032192,0,152,341.32,Cluster,Opteron Quad Core 4C 2.50GHz,AMD x86_64,2500,Linux,Linux,None,4,Opteron Quad Core,Sun Blade x6440,Sun Blade System,Infiniband,Infiniband,Western Europe,Europe
478,UKMO B,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom Meteorological Office,IBM,United Kingdom,2009,Research,3520,0,51863.33,66176,78.37,0,0,562,92.28,MPP,POWER6 2C 4.70GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,Northern Europe,Europe
479,UKMO A,"Power 575, p6 4.7 GHz, Infiniband",United Kingdom Meteorological Office,IBM,United Kingdom,2009,Research,3520,0,51863.33,66176,78.37,0,0,562,92.28,MPP,POWER6 2C 4.70GHz,Power,4700,AIX,Unix,None,2,POWER6,pSeries 575,IBM pSeries,Infiniband,Infiniband,Northern Europe,Europe
480,,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",Engineering Company,IBM,China,2011,Industry,9192,0,51797.17,107730.24,48.08,0,0,292.61,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
481,,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",Engineering Company,IBM,China,2011,Industry,9192,0,51797.17,107730.24,48.08,0,0,292.61,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
482,,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",Engineering Company,IBM,China,2011,Industry,9192,0,51797.17,107730.24,48.08,0,0,292.61,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
483,,"Power 775, POWER7 8C 3.84 GHz, Custom",ECMWF,IBM,United Kingdom,2011,Research,2048,0,51462,62849.02,81.88,0,0,125.37,410.48,MPP,POWER7 8C 3.83GHz,Power,3830,AIX,Unix,None,8,POWER7,Power 775,IBM pSeries,Custom Interconnect,Custom,Northern Europe,Europe
484,Hawk,Altix 4700 1.6 GHz,Air Force Research Laboratory - ARFL DSRC,SGI,United States,2007,Research,9216,0,51441,58982,87.21,1260000,0,,,MPP,Itanium 2 Dual Core 2C 1.60GHz,Intel IA-64,1600,SUSE Linux Enterprise Server 10,Linux,None,2,Itanium 2 Dual Core,SGI Altix 4700,SGI Altix,NUMAlink,NUMAlink,North America,Americas
485,,"Cluster Platform 4000 BL685c G7, Opteron 12C 2.1 Ghz, GigE",Web Company (C),Hewlett-Packard,China,2011,Industry,11784,0,51416.3,98985.6,51.94,0,0,,,Cluster,Opteron 6172 12C 2.10GHz,AMD x86_64,2100,Linux,Linux,None,12,Opteron 12 Core,Cluster Platform 4000 BL685c G7,HP Cluster Platform 4000BL,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
486,,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",IT Service Provider,Hewlett-Packard,United States,2011,Industry,8334,0,51409.2,97647.5,52.65,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
487,,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",IT Service Provider,Hewlett-Packard,United States,2011,Industry,8334,0,51409.2,97647.5,52.65,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
488,,"Cluster Platform 3000 BL460c G6, Xeon E5670 2.93 GHz, GigE",IT Service Provider,Hewlett-Packard,United States,2011,Industry,8334,0,51409.2,97647.5,52.65,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
489,,"Cluster Platform 3000 BL460c G6, Xeon E5530 4C 2.40 GHz, Gigabit Ethernet",IT Service Provider,Hewlett-Packard,Denmark,2010,Industry,10240,0,51366,98304,52.25,0,0,,,Cluster,Xeon E5530 4C 2.40GHz,Intel EM64T,2400,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,Northern Europe,Europe
490,,"BladeCenter HS22 Cluster, Xeon QC GT 2.66 GHz, Infiniband",Banking (M),IBM,United States,2010,Industry,5568,0,51304.05,59377.15,86.4,0,0,182,281.89,Cluster,Xeon X5550 4C 2.66GHz,Intel EM64T,2660,Linux,Linux,None,4,Xeon X55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Infiniband,Infiniband,North America,Americas
491,,"Cluster Platform 3000 BL460c G6, Xeon X5670 2.93 GHz, Infiniband",Financial Institution,Hewlett-Packard,United States,2011,Industry,5568,0,51235,65257,78.51,0,0,,,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform 3000 BL460c G6,HP Cluster Platform 3000BL,Infiniband,Infiniband QDR,North America,Americas
492,,"BladeCenter HS22 Cluster, Xeon QC E5xx 2.53 GHz, GigEthernet",Information Service,IBM,France,2011,Industry,9056,0,51230,91646.72,55.9,0,0,286.32,178.93,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),BladeCenter HS22 Cluster,IBM BladeCenter,Gigabit Ethernet,Gigabit Ethernet,Western Europe,Europe
493,,"Hitachi SR16000 Model L2/121, Power6 4.7Ghz, Infiniband",Meteorological Research Institute (MRI),Hitachi,Japan,2009,Research,3872,0,51210,72793.6,70.35,844800,0,,,MPP,POWER6 2C 4.70GHz,Power,4700,AIX,Unix,None,2,POWER6,Hitachi SR16000 Model L2,Hitachi SR16000,Infiniband,Infiniband,Eastern Asia,Asia
494,,"xSeries x3650M2 Cluster, Xeon QC E55xx 2.53 Ghz, GigE",Engineering Company,IBM,China,2010,Industry,8960,0,51203.33,90675.2,56.47,0,0,393,130.29,Cluster,Xeon E5540 4C 2.53GHz,Intel EM64T,2530,Linux,Linux,None,4,Xeon E55xx (Nehalem-EP),xSeries x3650M2 Cluster Xeon QC,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
495,,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",Telecommunication Company,IBM,China,2011,Industry,9084,0,51188.58,106464.48,48.08,0,0,289.17,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
496,,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",Telecommunication Company,IBM,China,2011,Industry,9084,0,51188.58,106464.48,48.08,0,0,289.17,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
497,,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",Telecommunication Company,IBM,China,2011,Industry,9084,0,51188.58,106464.48,48.08,0,0,289.17,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
498,,"xSeries x3650M3, Xeon X56xx 2.93 GHz, GigE",Telecommunication Company,IBM,China,2011,Industry,9084,0,51188.58,106464.48,48.08,0,0,289.17,177.02,Cluster,Xeon X5670 6C 2.93GHz,Intel Nehalem,2930,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),xSeries x3650M3 Cluster,IBM xSeries,Gigabit Ethernet,Gigabit Ethernet,Eastern Asia,Asia
499,,"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",IT Service Provider,Hewlett-Packard,United States,2010,Industry,8096,0,51180.5,97152,52.68,0,0,,,Cluster,Xeon E5450 4C 3.00GHz,Intel Core,3000,Linux,Linux,None,4,"Xeon 5400-series ""Harpertown""",Cluster Platform 3000 BL460c,HP Cluster Platform 3000BL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
500,,"HP ProLiant SL390s G7 Xeon 6C X5680 3.3 Ghz, GigE",IT Service Provider,Hewlett-Packard,United States,2011,Industry,7236,0,50941.4,96383.5,52.85,0,0,,,Cluster,Xeon X5680 6C 3.33GHz,Intel Nehalem,3330,Linux,Linux,None,6,Xeon X56xx (Westmere-EP),Cluster Platform SL390s G7,HP Cluster Platform 3000SL,Gigabit Ethernet,Gigabit Ethernet,North America,Americas
